"Depth" "Time" "X_1" "X_2" "Obs"
32 -772854.818965291 -1 -1.5 3.41451162220807
31.9 -772129.82435484 -0.92753707238245 -1.80526194434121 3.50272229353552
31.8 -771138.34286424 -0.881683632394388 -2.08497153536812 3.60151277198645
31.7 -769220.212574509 -0.778734047429122 -2.12114977358673 3.44749697275502
31.6 -766576.418955604 -0.651852848584837 -1.98134238958215 3.6143880360136
31.5 -766288.110401104 -0.635094048595893 -2.01340814997727 3.72580853385105
31.4 -765059.564906958 -0.544775665501503 -1.88464353774378 3.76391612903013
31.3 -762337.800285783 -0.367356449856853 -1.86491883026989 3.98644634177573
31.2 -761278.307578401 -0.200332464881403 -1.71918713236243 3.96094321662911
31.1 -759696.063362403 -0.241493450933919 -1.78525524994258 3.8583182179476
31 -758930.963061264 -0.278363263953526 -1.70853109105855 4.08782875018801
30.9 -756418.933802154 -0.195171760263887 -1.70018142580912 4.11116300212532
30.8 -755252.958442649 -0.10554502070614 -1.82843267310171 4.13037306242156
30.7 -753469.068167798 -0.0546962471939526 -1.79453943775795 4.13788200002661
30.6 -750855.197146597 -0.178200616964973 -1.87163817642444 4.14108279967948
30.5 -747348.641563701 -0.195655424125962 -1.95683912722169 4.20712420858175
30.4 -745857.295683149 -0.195765464195595 -1.66141702400809 4.01486075274839
30.3 -738500.037156567 -0.412319604460134 -1.93729280247921 3.79577938364846
30.2 -734853.556562457 -0.483758504915246 -2.0845781168389 3.61916811678882
30.1 -730927.493953349 -0.47921560093669 -1.89400445264682 3.76546268546871
30 -729694.898809109 -0.4019628256034 -2.02733093072809 3.93648341733489
29.9 -728951.721861236 -0.229494737959604 -1.9029063196782 3.99398106178249
29.8 -728126.550919748 -0.1530443007393 -1.93618435442471 4.09476378352905
29.7 -726390.66873871 -0.132639642316811 -1.93530305698538 4.0246667357033
29.6 -723583.365574505 0.141681401498687 -1.72304259451483 4.27644602510822
29.5 -720892.389541884 0.40978436610858 -1.59013036395488 4.55818230973643
29.4 -719872.524724623 0.528879273760474 -1.35587111513259 4.50607052364389
29.3 -718320.505193208 0.729646424717355 -1.51452616156088 4.68742166843413
29.2 -717833.84539958 0.742573248566139 -1.39488725151213 4.92185555705165
29.1 -716817.091371236 0.733220939461048 -1.08084562239362 4.90087654853873
29 -715619.174437028 0.684865010446733 -1.33142814966964 4.81903271212901
